name;mfr;calories;protein;fat;sodium;fiber;carbo;sugars;potass;rating
Cap'n'Crunch;Q;120;1;2;220;0;12;12;35;A
Cinnamon_Toast_Crunch;G;120;1;3;210;0;13;9;45;A
Honey_Graham_Ohs;Q;120;1;2;220;1;12;11;45;A
Count_Chocula;G;110;1;1;180;0;12;13;65;A
Cocoa_Puffs;G;110;1;1;180;0;12;13;55;A
Golden_Grahams;G;110;1;1;280;0;15;9;45;A
Lucky_Charms;G;110;2;1;180;0;12;12;55;A
Trix;G;110;1;1;140;0;13;12;25;A
Fruity_Pebbles;P;110;1;1;135;0;13;12;25;A
Total_Raisin_Bran;G;140;3;1;190;4;15;14;230;A
Honey-comb;P;110;1;0;180;0;14;11;35;A
Apple_Cinnamon_Cheerios;G;110;2;2;180;1.5;10.5;10;70;A
Nut&Honey_Crunch;K;120;2;1;190;0;15;9;40;A
Mueslix_Crispy_Blend;K;160;3;2;150;3;17;13;160;A
Oatmeal_Raisin_Crisp;G;130;3;2;170;1.5;13.5;10;120;A
Honey_Nut_Cheerios;G;110;3;1;250;1.5;11.5;10;90;A
Smacks;K;110;2;1;70;1;9;15;40;A
Frosted_Flakes;K;110;1;0;200;1;14;11;25;A
Froot_Loops;K;110;2;1;125;1;11;13;30;A
Apple_Jacks;K;110;2;0;125;1;11;14;30;A
100%_Natural_Bran;Q;120;3;5;15;2;8;8;135;A
Muesli_Raisins,_Peaches,_&_Pecans;R;150;4;3;150;3;16;11;170;A
Almond_Delight;R;110;2;2;200;1;14;8;-1;A
Golden_Crisp;P;100;2;0;45;0;11;15;40;A
Corn_Pops;K;110;1;0;90;1;13;12;20;A
Crispy_Wheat_&_Raisins;G;100;2;1;140;2;11;10;120;A
Wheaties_Honey_Gold;G;110;2;1;200;1;16;8;60;A
Just_Right_Fruit_&_Nut;K;140;3;1;170;2;20;9;95;A
Just_Right_Crunchy__Nuggets;K;110;2;1;170;1;17;6;60;A
Basic_4;G;130;3;2;210;2;18;8;100;A
Muesli_Raisins,_Dates,_&_Almonds;R;150;4;3;95;3;16;11;170;A
Post_Nat._Raisin_Bran;P;120;3;1;200;6;11;14;260;A
Total_Corn_Flakes;G;110;2;1;200;0;21;3;35;B
Triples;G;110;2;1;250;0;21;3;60;B
Kix;G;110;2;1;260;0;21;3;40;B
Raisin_Bran;K;120;3;1;210;5;14;12;240;B
Raisin_Nut_Bran;G;100;3;2;140;2.5;10.5;8;140;B
Multi-Grain_Cheerios;G;100;2;1;220;2;15;6;90;B
Clusters;G;110;3;2;140;2;13;7;105;B
Cracklin'_Oat_Bran;K;110;3;3;140;4;10;7;160;B
Rice_Krispies;K;110;2;0;290;0;22;3;35;B
Nutri-Grain_Almond-Raisin;K;140;3;2;220;3;21;7;130;B
Fruit_&_Fibre_Dates,_Walnuts,_and_Oats;P;120;3;2;160;5;12;10;200;B
Fruitful_Bran;K;120;3;0;240;5;14;12;190;B
Corn_Chex;R;110;2;0;280;0;22;3;25;B
Product_19;K;100;3;0;320;1;20;3;45;B
Rice_Chex;R;110;1;0;240;0;23;2;30;B
Double_Chex;R;100;2;0;190;1;18;5;80;B
Life;Q;100;4;2;150;2;12;6;95;B
Great_Grains_Pecan;P;120;3;3;75;3;13;4;100;B
Corn_Flakes;K;100;2;0;290;1;21;2;35;B
Total_Whole_Grain;G;100;3;1;200;3;16;3;110;B
Crispix;K;110;2;0;220;1;21;3;30;B
Bran_Chex;R;90;2;1;200;4;15;6;125;B
Quaker_Oat_Squares;Q;100;4;1;135;2;14;6;110;B
Wheat_Chex;R;100;3;1;230;3;17;3;115;B
Cheerios;G;110;6;2;290;2;17;1;105;B
Quaker_Oatmeal;Q;100;5;2;0;2.7;-1;-1;110;B
Wheaties;G;100;3;1;200;3;17;3;110;B
Grape_Nuts_Flakes;P;100;3;1;140;3;15;5;85;B
Special_K;K;110;6;0;230;1;16;3;55;B
Bran_Flakes;P;90;3;0;210;5;13;5;190;B
Grape-Nuts;P;110;3;0;170;3;17;3;90;B
Maypo;A;100;4;1;0;0;16;3;95;C
Raisin_Squares;K;90;2;0;0;2;15;6;110;C
Frosted_Mini-Wheats;K;100;3;0;0;3;14;7;100;C
Strawberry_Fruit_Wheats;N;90;2;0;15;3;15;5;90;C
All-Bran;K;70;4;1;260;9;7;5;320;C
Nutri-grain_Wheat;K;90;3;0;170;3;18;2;90;C
Puffed_Rice;Q;50;1;0;0;0;13;0;15;C
Puffed_Wheat;Q;50;2;0;0;1;10;0;50;C
Cream_of_Wheat_(Quick);N;100;3;0;80;1;21;0;-1;C
Shredded_Wheat;N;80;2;0;0;3;16;0;95;C
100%_Bran;N;70;4;1;130;10;5;6;280;C
Shredded_Wheat_spoon_size;N;90;3;0;0;3;20;0;120;C
Shredded_Wheat_'n'Bran;N;90;3;0;0;4;19;0;140;C
All-Bran_with_Extra_Fiber;K;50;4;0;140;14;8;0;330;C
